location,month,temp_mean_c,source
fuessen,1959-12,0.3,ERA5/Open-Meteo
fuessen,1960-01,-3.93,ERA5/Open-Meteo
fuessen,1960-02,-1.28,ERA5/Open-Meteo
fuessen,1960-03,1.81,ERA5/Open-Meteo
fuessen,1960-04,4.73,ERA5/Open-Meteo
fuessen,1960-05,10.62,ERA5/Open-Meteo
fuessen,1960-06,14.45,ERA5/Open-Meteo
fuessen,1960-07,13.88,ERA5/Open-Meteo
fuessen,1960-08,14.61,ERA5/Open-Meteo
fuessen,1960-09,11.03,ERA5/Open-Meteo
fuessen,1960-10,6.67,ERA5/Open-Meteo
fuessen,1960-11,2.77,ERA5/Open-Meteo
fuessen,1960-12,-0.9,ERA5/Open-Meteo
fuessen,1961-01,-4.19,ERA5/Open-Meteo
fuessen,1961-02,1.21,ERA5/Open-Meteo
fuessen,1961-03,1.8,ERA5/Open-Meteo
fuessen,1961-04,8.49,ERA5/Open-Meteo
fuessen,1961-05,8.57,ERA5/Open-Meteo
fuessen,1961-06,14.38,ERA5/Open-Meteo
fuessen,1961-07,14.32,ERA5/Open-Meteo
fuessen,1961-08,14.8,ERA5/Open-Meteo
fuessen,1961-09,15.65,ERA5/Open-Meteo
fuessen,1961-10,9.01,ERA5/Open-Meteo
fuessen,1961-11,1.13,ERA5/Open-Meteo
fuessen,1961-12,5.4,ERA5/Open-Meteo
fuessen,1962-01,-2.94,ERA5/Open-Meteo
fuessen,1962-02,-3.51,ERA5/Open-Meteo
fuessen,1962-03,-2.11,ERA5/Open-Meteo
fuessen,1962-04,3.6,ERA5/Open-Meteo
fuessen,1962-05,7.36,ERA5/Open-Meteo
fuessen,1962-06,11.64,ERA5/Open-Meteo
fuessen,1962-07,14.21,ERA5/Open-Meteo
fuessen,1962-08,16.17,ERA5/Open-Meteo
fuessen,1962-09,11.97,ERA5/Open-Meteo
fuessen,1962-10,8.01,ERA5/Open-Meteo
fuessen,1962-11,-0.85,ERA5/Open-Meteo
fuessen,1962-12,-3.7,ERA5/Open-Meteo
fuessen,1963-01,-8.32,ERA5/Open-Meteo
fuessen,1963-02,-6.61,ERA5/Open-Meteo
fuessen,1963-03,0.04,ERA5/Open-Meteo
fuessen,1963-04,4.17,ERA5/Open-Meteo
fuessen,1963-05,9.17,ERA5/Open-Meteo
fuessen,1963-06,13.44,ERA5/Open-Meteo
fuessen,1963-07,16.16,ERA5/Open-Meteo
fuessen,1963-08,14.41,ERA5/Open-Meteo
fuessen,1963-09,12.84,ERA5/Open-Meteo
fuessen,1963-10,7.49,ERA5/Open-Meteo
fuessen,1963-11,4.67,ERA5/Open-Meteo
fuessen,1963-12,-2.1,ERA5/Open-Meteo
fuessen,1964-01,-6.58,ERA5/Open-Meteo
fuessen,1964-02,-1.43,ERA5/Open-Meteo
fuessen,1964-03,-0.0,ERA5/Open-Meteo
fuessen,1964-04,6.32,ERA5/Open-Meteo
fuessen,1964-05,11.64,ERA5/Open-Meteo
fuessen,1964-06,14.94,ERA5/Open-Meteo
fuessen,1964-07,16.6,ERA5/Open-Meteo
fuessen,1964-08,14.59,ERA5/Open-Meteo
fuessen,1964-09,12.38,ERA5/Open-Meteo
fuessen,1964-10,5.17,ERA5/Open-Meteo
fuessen,1964-11,3.24,ERA5/Open-Meteo
fuessen,1964-12,-2.4,ERA5/Open-Meteo
fuessen,1965-01,-1.67,ERA5/Open-Meteo
fuessen,1965-02,-5.42,ERA5/Open-Meteo
fuessen,1965-03,0.41,ERA5/Open-Meteo
fuessen,1965-04,2.87,ERA5/Open-Meteo
fuessen,1965-05,8.34,ERA5/Open-Meteo
fuessen,1965-06,13.67,ERA5/Open-Meteo
fuessen,1965-07,14.42,ERA5/Open-Meteo
fuessen,1965-08,13.9,ERA5/Open-Meteo
fuessen,1965-09,11.16,ERA5/Open-Meteo
fuessen,1965-10,8.02,ERA5/Open-Meteo
fuessen,1965-11,1.0,ERA5/Open-Meteo
fuessen,1965-12,-4.3,ERA5/Open-Meteo
fuessen,1966-01,-5.92,ERA5/Open-Meteo
fuessen,1966-02,2.18,ERA5/Open-Meteo
fuessen,1966-03,0.18,ERA5/Open-Meteo
fuessen,1966-04,5.94,ERA5/Open-Meteo
fuessen,1966-05,9.83,ERA5/Open-Meteo
fuessen,1966-06,14.17,ERA5/Open-Meteo
fuessen,1966-07,13.8,ERA5/Open-Meteo
fuessen,1966-08,13.68,ERA5/Open-Meteo
fuessen,1966-09,13.37,ERA5/Open-Meteo
fuessen,1966-10,10.38,ERA5/Open-Meteo
fuessen,1966-11,-1.43,ERA5/Open-Meteo
fuessen,1966-12,0.2,ERA5/Open-Meteo
fuessen,1967-01,-2.84,ERA5/Open-Meteo
fuessen,1967-02,-1.36,ERA5/Open-Meteo
fuessen,1967-03,2.1,ERA5/Open-Meteo
fuessen,1967-04,3.36,ERA5/Open-Meteo
fuessen,1967-05,8.95,ERA5/Open-Meteo
fuessen,1967-06,12.24,ERA5/Open-Meteo
fuessen,1967-07,16.86,ERA5/Open-Meteo
fuessen,1967-08,15.33,ERA5/Open-Meteo
fuessen,1967-09,11.98,ERA5/Open-Meteo
fuessen,1967-10,10.24,ERA5/Open-Meteo
fuessen,1967-11,2.87,ERA5/Open-Meteo
fuessen,1967-12,-0.8,ERA5/Open-Meteo
fuessen,1968-01,-3.57,ERA5/Open-Meteo
fuessen,1968-02,-0.61,ERA5/Open-Meteo
fuessen,1968-03,0.92,ERA5/Open-Meteo
fuessen,1968-04,4.97,ERA5/Open-Meteo
fuessen,1968-05,9.44,ERA5/Open-Meteo
fuessen,1968-06,13.45,ERA5/Open-Meteo
fuessen,1968-07,14.5,ERA5/Open-Meteo
fuessen,1968-08,13.88,ERA5/Open-Meteo
fuessen,1968-09,11.59,ERA5/Open-Meteo
fuessen,1968-10,9.2,ERA5/Open-Meteo
fuessen,1968-11,2.8,ERA5/Open-Meteo
fuessen,1968-12,0.8,ERA5/Open-Meteo
fuessen,1969-01,-2.95,ERA5/Open-Meteo
fuessen,1969-02,-3.84,ERA5/Open-Meteo
fuessen,1969-03,0.75,ERA5/Open-Meteo
fuessen,1969-04,3.81,ERA5/Open-Meteo
fuessen,1969-05,11.79,ERA5/Open-Meteo
fuessen,1969-06,11.59,ERA5/Open-Meteo
fuessen,1969-07,15.89,ERA5/Open-Meteo
fuessen,1969-08,14.04,ERA5/Open-Meteo
fuessen,1969-09,13.33,ERA5/Open-Meteo
fuessen,1969-10,9.21,ERA5/Open-Meteo
fuessen,1969-11,2.34,ERA5/Open-Meteo
fuessen,1969-12,-6.8,ERA5/Open-Meteo
fuessen,1970-01,-2.64,ERA5/Open-Meteo
fuessen,1970-02,-1.83,ERA5/Open-Meteo
fuessen,1970-03,-0.84,ERA5/Open-Meteo
fuessen,1970-04,2.22,ERA5/Open-Meteo
fuessen,1970-05,6.75,ERA5/Open-Meteo
fuessen,1970-06,14.39,ERA5/Open-Meteo
fuessen,1970-07,14.8,ERA5/Open-Meteo
fuessen,1970-08,15.11,ERA5/Open-Meteo
fuessen,1970-09,13.23,ERA5/Open-Meteo
fuessen,1970-10,6.63,ERA5/Open-Meteo
fuessen,1970-11,2.71,ERA5/Open-Meteo
fuessen,1970-12,0.1,ERA5/Open-Meteo
fuessen,1971-01,-5.3,ERA5/Open-Meteo
fuessen,1971-02,-2.81,ERA5/Open-Meteo
fuessen,1971-03,-2.27,ERA5/Open-Meteo
fuessen,1971-04,5.84,ERA5/Open-Meteo
fuessen,1971-05,11.68,ERA5/Open-Meteo
fuessen,1971-06,11.97,ERA5/Open-Meteo
fuessen,1971-07,16.45,ERA5/Open-Meteo
fuessen,1971-08,16.83,ERA5/Open-Meteo
fuessen,1971-09,11.01,ERA5/Open-Meteo
fuessen,1971-10,8.01,ERA5/Open-Meteo
fuessen,1971-11,1.12,ERA5/Open-Meteo
fuessen,1971-12,0.9,ERA5/Open-Meteo
fuessen,1972-01,-3.53,ERA5/Open-Meteo
fuessen,1972-02,0.29,ERA5/Open-Meteo
fuessen,1972-03,3.75,ERA5/Open-Meteo
fuessen,1972-04,4.98,ERA5/Open-Meteo
fuessen,1972-05,9.05,ERA5/Open-Meteo
fuessen,1972-06,12.84,ERA5/Open-Meteo
fuessen,1972-07,14.72,ERA5/Open-Meteo
fuessen,1972-08,14.43,ERA5/Open-Meteo
fuessen,1972-09,9.19,ERA5/Open-Meteo
fuessen,1972-10,5.15,ERA5/Open-Meteo
fuessen,1972-11,1.35,ERA5/Open-Meteo
fuessen,1972-12,0.8,ERA5/Open-Meteo
fuessen,1973-01,-3.24,ERA5/Open-Meteo
fuessen,1973-02,-2.76,ERA5/Open-Meteo
fuessen,1973-03,-0.11,ERA5/Open-Meteo
fuessen,1973-04,1.64,ERA5/Open-Meteo
fuessen,1973-05,9.41,ERA5/Open-Meteo
fuessen,1973-06,13.67,ERA5/Open-Meteo
fuessen,1973-07,14.85,ERA5/Open-Meteo
fuessen,1973-08,16.6,ERA5/Open-Meteo
fuessen,1973-09,13.14,ERA5/Open-Meteo
fuessen,1973-10,5.62,ERA5/Open-Meteo
fuessen,1973-11,1.07,ERA5/Open-Meteo
fuessen,1973-12,-6.9,ERA5/Open-Meteo
fuessen,1974-01,-0.39,ERA5/Open-Meteo
fuessen,1974-02,0.45,ERA5/Open-Meteo
fuessen,1974-03,2.54,ERA5/Open-Meteo
fuessen,1974-04,4.66,ERA5/Open-Meteo
fuessen,1974-05,8.95,ERA5/Open-Meteo
fuessen,1974-06,12.07,ERA5/Open-Meteo
fuessen,1974-07,14.55,ERA5/Open-Meteo
fuessen,1974-08,16.24,ERA5/Open-Meteo
fuessen,1974-09,12.11,ERA5/Open-Meteo
fuessen,1974-10,2.01,ERA5/Open-Meteo
fuessen,1974-11,0.4,ERA5/Open-Meteo
